latitude,longitude,date,time,road_type,lanes,speed_limit,weather,severity
18.524908,73.940143,2023-09-21,07:33:32,highway,6,80,clear,2
18.596399,73.869732,2024-02-19,01:38:13,highway,6,80,clear,1
18.481204,73.781199,2021-12-06,15:24:52,residential,1,50,clear,2
18.461617,73.923235,2023-04-27,12:53:27,service,2,50,rain,1
18.570223,73.891615,2024-09-12,09:51:54,highway,6,100,rain,2
18.454117,73.943982,2021-12-01,11:28:43,arterial,2,80,clear,1
18.616489,73.792468,2024-08-09,12:52:48,arterial,2,80,fog,2
18.486365,73.786681,2024-12-03,17:39:49,service,2,50,clear,2
18.510848,73.854951,2024-08-31,14:45:42,arterial,2,60,rain,3
18.536389,73.808246,2024-04-15,22:04:36,arterial,2,60,clear,2
18.572371,73.777899,2022-12-06,08:21:40,arterial,4,80,rain,1
18.508429,73.823272,2022-02-19,17:39:16,highway,4,80,rain,3
18.541214,73.907035,2022-02-24,08:23:03,collector,2,30,rain,1
18.489935,73.852847,2021-02-19,20:47:01,arterial,4,60,cloudy,1
18.568483,73.75929,2023-06-01,02:00:17,arterial,4,80,rain,3
18.571509,73.784105,2023-09-26,15:15:17,service,2,30,rain,1
18.46301,73.939777,2023-05-23,01:19:15,collector,2,50,fog,1
18.643126,73.911679,2021-12-07,16:52:13,residential,1,30,cloudy,2
18.510923,73.769534,2021-08-26,10:20:14,residential,1,40,cloudy,1
18.586847,73.83803,2022-12-29,02:09:52,collector,1,50,fog,2
18.474408,73.849035,2023-11-26,00:00:16,collector,2,30,fog,1
18.456878,73.931864,2021-09-03,16:32:54,service,2,50,clear,2
18.501756,73.882504,2023-02-28,15:44:40,highway,4,80,fog,2
18.512342,73.854014,2021-09-08,22:59:04,collector,2,40,clear,1
18.559342,73.786971,2024-12-14,07:18:25,arterial,2,60,fog,1
18.643917,73.905027,2023-06-01,08:35:59,highway,6,80,clear,3
18.6379,73.928965,2023-04-08,12:43:31,residential,2,50,rain,1
18.56958,73.934375,2023-03-31,17:06:16,collector,1,50,cloudy,2
18.467699,73.789197,2023-12-08,16:07:46,residential,2,50,fog,2
18.459045,73.815066,2022-11-12,13:33:17,collector,1,30,cloudy,1
18.527735,73.80427,2022-06-10,04:44:36,highway,4,80,rain,1
18.615748,73.821351,2023-09-08,09:13:25,highway,4,80,rain,3
18.506187,73.858539,2021-04-21,01:45:12,collector,2,50,rain,1
18.478185,73.910439,2023-04-18,16:05:53,residential,1,40,cloudy,2
18.46491,73.947377,2021-10-23,18:59:46,highway,6,100,clear,2
18.604449,73.789743,2022-12-27,11:56:29,highway,4,100,clear,3
18.451104,73.913092,2024-05-28,16:15:07,highway,4,80,rain,3
18.591371,73.895801,2021-08-06,18:22:29,service,2,40,rain,1
18.604254,73.764809,2024-12-05,05:50:11,highway,4,80,cloudy,3
18.521693,73.773174,2023-04-20,18:34:44,highway,4,80,clear,2
18.622621,73.87466,2023-01-18,18:20:33,residential,1,30,cloudy,1
18.51618,73.762712,2022-08-30,11:58:41,arterial,4,80,cloudy,3
18.512196,73.815037,2024-02-09,19:12:43,collector,1,30,cloudy,1
18.595921,73.877511,2021-04-01,20:24:54,collector,2,30,clear,1
18.627443,73.844443,2023-01-11,15:57:51,collector,1,50,rain,1
18.473919,73.892649,2021-10-16,16:03:24,highway,4,100,clear,1
18.602157,73.862255,2024-10-15,00:19:00,collector,1,50,rain,1
18.604193,73.848759,2023-10-19,04:38:52,collector,2,30,fog,2
18.554547,73.835508,2022-05-04,01:37:24,residential,2,30,fog,2
18.455084,73.771578,2022-04-12,00:42:06,service,1,30,fog,1
18.456286,73.877282,2023-05-25,13:55:27,highway,4,100,clear,1
18.512871,73.851714,2022-06-27,03:59:32,highway,6,100,rain,2
18.631513,73.799858,2024-07-19,04:15:53,collector,1,50,fog,2
18.532077,73.90111,2022-04-11,01:38:55,highway,6,80,rain,3
18.49576,73.765396,2024-02-28,07:18:00,collector,2,40,rain,2
18.50795,73.782244,2024-01-20,18:31:17,arterial,4,80,rain,2
18.63594,73.911624,2024-11-11,18:37:23,highway,6,100,clear,1
18.576681,73.924292,2022-06-03,03:53:20,residential,1,50,fog,1
18.610734,73.787314,2024-01-02,05:11:21,service,1,30,clear,3
18.628512,73.857868,2023-12-10,11:04:43,residential,2,50,clear,2
18.611488,73.929218,2022-10-30,15:36:36,residential,2,40,clear,3
18.513601,73.77201,2024-05-21,17:35:26,highway,4,80,fog,3
18.495587,73.835422,2022-07-04,10:05:42,collector,1,30,cloudy,2
18.613603,73.922146,2024-05-27,13:56:59,residential,1,30,cloudy,2
18.45139,73.852149,2022-06-01,00:46:18,service,2,30,rain,2
18.533482,73.794422,2021-06-17,22:05:49,service,2,30,clear,1
18.473973,73.817523,2024-11-27,18:22:07,service,2,30,fog,1
18.638582,73.814641,2023-10-23,07:49:14,residential,2,40,cloudy,2
18.553758,73.890604,2024-04-16,07:42:24,arterial,4,80,fog,3
18.522726,73.944356,2021-06-29,04:15:07,arterial,4,60,rain,1
18.642489,73.800356,2022-11-07,01:42:40,arterial,4,60,fog,2
18.54945,73.810176,2023-06-15,16:45:37,residential,1,50,fog,1
18.506968,73.757377,2023-03-19,16:02:07,collector,2,40,rain,1
18.571913,73.850536,2023-10-29,20:34:32,arterial,2,80,fog,2
18.460296,73.805729,2023-11-02,23:34:10,service,2,50,fog,1
18.631653,73.797912,2021-07-17,17:37:59,residential,2,50,cloudy,2
18.478979,73.847891,2021-09-28,08:12:34,collector,2,50,fog,2
18.64713,73.798411,2022-04-18,01:16:45,arterial,4,80,rain,2
18.584427,73.902324,2022-11-18,20:54:43,residential,1,50,cloudy,1
18.497528,73.895643,2023-03-12,17:26:37,collector,1,30,fog,2
18.523557,73.876461,2021-12-15,23:12:39,residential,1,30,rain,1
18.576706,73.857155,2023-01-09,02:22:00,collector,2,40,clear,3
18.468058,73.91706,2023-06-14,06:34:00,residential,2,40,cloudy,1
18.514156,73.787304,2023-10-17,03:36:55,highway,6,80,clear,2
18.458155,73.868179,2023-12-18,01:28:17,collector,1,50,cloudy,1
18.585513,73.753318,2024-08-10,20:16:17,highway,4,100,cloudy,3
18.552419,73.795299,2023-05-19,06:14:42,collector,2,50,fog,2
18.579035,73.784873,2024-10-17,16:55:37,collector,2,30,cloudy,2
18.588188,73.827347,2023-01-08,09:08:44,service,1,50,fog,1
18.637346,73.777504,2024-04-23,01:49:09,collector,1,40,cloudy,1
18.518213,73.772695,2024-01-14,10:52:50,arterial,4,80,rain,2
18.634939,73.925468,2023-04-20,02:20:04,highway,4,80,rain,2
18.501588,73.881997,2021-08-26,08:59:35,residential,2,40,clear,1
18.613444,73.86104,2022-12-25,18:55:01,service,1,40,clear,1
18.55593,73.79837,2024-04-10,20:03:59,collector,2,40,clear,1
18.468621,73.929443,2022-07-01,10:31:07,arterial,4,60,cloudy,2
18.630084,73.87662,2022-02-28,23:45:57,service,1,40,cloudy,1
18.517806,73.819842,2023-11-22,00:14:40,service,2,30,rain,3
18.595191,73.929422,2023-04-10,17:34:20,highway,4,80,cloudy,3
18.627417,73.905975,2021-07-30,19:14:36,service,1,40,rain,1
18.578406,73.766828,2021-11-25,19:16:02,service,2,40,fog,1
18.482326,73.929711,2024-07-16,08:23:07,service,1,40,fog,1
18.571286,73.751839,2023-04-18,22:59:59,highway,4,80,fog,3
18.470294,73.8827,2023-10-10,11:10:29,highway,4,80,clear,3
18.451012,73.782162,2023-08-24,05:04:20,residential,1,40,rain,2
18.559747,73.888379,2023-05-27,02:18:35,residential,2,40,cloudy,1
18.580392,73.794854,2023-08-02,07:49:38,highway,6,80,rain,3
18.592436,73.79745,2024-12-13,23:25:25,arterial,4,60,cloudy,1
18.51508,73.899298,2023-12-09,19:58:17,residential,2,50,clear,2
18.579927,73.919845,2021-07-08,01:15:35,collector,2,50,clear,1
18.581523,73.863662,2022-07-30,15:53:01,highway,4,100,fog,3
18.468735,73.823543,2021-06-13,22:46:27,service,2,50,fog,1
18.50304,73.798798,2021-10-01,14:51:42,collector,2,40,fog,1
18.644602,73.82862,2024-02-10,14:37:57,collector,2,30,fog,2
18.628409,73.876228,2021-05-15,15:01:37,arterial,2,80,cloudy,2
18.608962,73.850527,2023-11-04,23:52:18,service,1,40,fog,2
18.565381,73.848504,2021-10-10,11:28:52,service,2,40,rain,1
18.489049,73.89449,2024-09-29,12:42:27,collector,1,50,fog,3
18.506154,73.754863,2021-05-13,23:52:57,residential,2,50,cloudy,2
18.579094,73.785422,2023-12-09,19:46:56,service,2,30,cloudy,1
18.638092,73.940786,2021-12-11,05:42:45,service,2,50,rain,2
18.632973,73.824032,2023-01-06,04:25:47,collector,2,50,fog,2
18.453091,73.935664,2022-07-01,12:26:49,service,2,40,fog,1
18.535637,73.943331,2024-01-26,11:25:44,residential,1,50,fog,2
